no constraint used for: ndhB.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ndhB.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: atpI.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: atpI.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: atpF.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: atpF.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ndhI.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ndhI.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: clpP.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: clpP.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ycf2.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ycf2.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ccsA.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ccsA.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ycf4.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ycf4.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rpoC2.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rpoC2.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: petN.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: petN.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: petD.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: petD.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rpl2.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rpl2.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rps12.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rps12.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: psbE.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: psbE.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rps15.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rps15.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rps3.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rps3.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rps16.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rps16.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ndhA.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ndhA.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ycf1.fa.cds.fsa.nuc.aln0 ['Galinsoga_quadriradiata', 'Ageratina_adenophora']
no constraint used for: ycf1.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ycf1.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ndhF.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ndhF.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: ycf3.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: ycf3.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: petB.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: petB.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rpoB.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rpoB.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rpl16.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rpl16.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rpoC1.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rpoC1.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: rpoA.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: rpoA.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
no constraint used for: psbL.fa.cds.fsa.nuc.aln1 ['Ageratina_adenophora', 'Parthenium_argentatum']
no constraint used for: psbL.fa.cds.fsa.nuc.aln2 ['Parthenium_argentatum', 'Galinsoga_quadriradiata']
