GeneName	NoConstraint	Galinsoga_quadriradiata,Ageratina_adenophora	Ageratina_adenophora,Parthenium_argentatum	Parthenium_argentatum,Galinsoga_quadriradiata
ndhB.fa.cds.fsa.nuc.aln	-5292.279781	-5290.556856	-5292.279781	-5292.279781
rps2.fa.cds.fsa.nuc.aln	-6143.222457	-6141.099570	-6141.082214	-6141.082195
rpl20.fa.cds.fsa.nuc.aln	-3837.642134	-3833.368986	-3834.285904	-3834.261220
atpI.fa.cds.fsa.nuc.aln	-5167.893654	-5168.780712	-5167.893654	-5167.893654
rps8.fa.cds.fsa.nuc.aln	-4141.930870	-4144.591439	-4143.371401	-4141.930944
psbT.fa.cds.fsa.nuc.aln	-752.016283	-756.236961	-752.016301	-755.289193
infA.fa.cds.fsa.nuc.aln	-1732.855388	-1734.366323	-1732.855372	-1735.398694
psaC.fa.cds.fsa.nuc.aln	-1622.659906	-1566.485008	-1568.613998	-1565.732479
atpF.fa.cds.fsa.nuc.aln	-5129.639871	-5129.639872	-5129.639871	-5129.639871
ndhI.fa.cds.fsa.nuc.aln	-4032.087295	-4032.087270	-4032.087295	-4032.087295
psbF.fa.cds.fsa.nuc.aln	-520.316251	-519.533411	-519.533548	-524.818562
clpP.fa.cds.fsa.nuc.aln	-6364.345913	-6363.142256	-6364.345913	-6364.345913
ycf2.fa.cds.fsa.nuc.aln	-62016.011511	-62016.011592	-62016.011511	-62016.011511
ccsA.fa.cds.fsa.nuc.aln	-11641.195179	-11641.195135	-11641.195179	-11641.195179
psbB.fa.cds.fsa.nuc.aln	-9962.603832	-9965.615159	-9967.051051	-9966.943325
ndhC.fa.cds.fsa.nuc.aln	-2469.537120	-2471.083796	-2471.630550	-2471.083764
ycf4.fa.cds.fsa.nuc.aln	-4728.958892	-4728.578535	-4728.958892	-4728.958892
psbD.fa.cds.fsa.nuc.aln	-5383.785370	-5383.167735	-5384.131268	-5382.955267
rpl14.fa.cds.fsa.nuc.aln	-2677.165359	-2677.959054	-2677.433677	-2680.448355
rpoC2.fa.cds.fsa.nuc.aln	-42185.235236	-42185.235173	-42185.235236	-42185.235236
atpH.fa.cds.fsa.nuc.aln	-1361.320264	-1353.111459	-1353.111456	-1353.111441
psbK.fa.cds.fsa.nuc.aln	-1492.218843	-1496.183956	-1498.335426	-1493.503725
psbA.fa.cds.fsa.nuc.aln	-5622.426348	-5622.085298	-5623.978940	-5623.169386
petN.fa.cds.fsa.nuc.aln	-448.082198	-450.453045	-448.082198	-448.082198
rps4.fa.cds.fsa.nuc.aln	-5279.276901	-5279.277223	-5279.276902	-5279.277234
psbC.fa.cds.fsa.nuc.aln	-8503.480648	-8503.480601	-8506.180410	-8506.576685
rpl22.fa.cds.fsa.nuc.aln	-6337.096146	-6337.096152	-6340.076623	-6340.320713
ndhJ.fa.cds.fsa.nuc.aln	-3308.742157	-3311.092834	-3311.468310	-3308.397513
petD.fa.cds.fsa.nuc.aln	-3315.599027	-3316.494202	-3315.599027	-3315.599027
psaB.fa.cds.fsa.nuc.aln	-12948.341281	-12948.771582	-12950.682500	-12950.682477
psbJ.fa.cds.fsa.nuc.aln	-705.323633	-708.374426	-708.374432	-705.323638
rpl36.fa.cds.fsa.nuc.aln	-851.436493	-851.436406	-851.436511	-851.436510
psbH.fa.cds.fsa.nuc.aln	-1927.591636	-1931.579774	-1930.611037	-1927.068216
rpl2.fa.cds.fsa.nuc.aln	-4309.237828	-4325.141644	-4309.237828	-4309.237828
rps12.fa.cds.fsa.nuc.aln	-1716.896409	-1716.946968	-1716.896409	-1716.896409
psaJ.fa.cds.fsa.nuc.aln	-982.585608	-982.261831	-982.729128	-982.083768
ndhE.fa.cds.fsa.nuc.aln	-2368.462789	-2368.110577	-2368.462778	-2370.362043
psbM.fa.cds.fsa.nuc.aln	-636.541932	-635.340375	-635.090316	-634.650067
rps19.fa.cds.fsa.nuc.aln	-2707.005339	-2712.599473	-2712.297036	-2707.005319
psbE.fa.cds.fsa.nuc.aln	-1244.760069	-1243.874359	-1244.760069	-1244.760069
rps18.fa.cds.fsa.nuc.aln	-2644.609600	-2645.432903	-2644.609672	-2644.756604
rps15.fa.cds.fsa.nuc.aln	-3363.540899	-3363.378771	-3363.540899	-3363.540899
rps3.fa.cds.fsa.nuc.aln	-7189.172458	-7190.698990	-7189.172458	-7189.172458
matK.fa.cds.fsa.nuc.aln	-20682.807213	-20682.807629	-20682.807177	-20682.807577
ndhH.fa.cds.fsa.nuc.aln	-8411.391667	-8411.391570	-8411.391600	-8411.391660
rps16.fa.cds.fsa.nuc.aln	-2306.164172	-2306.346657	-2306.164172	-2306.164172
ndhK.fa.cds.fsa.nuc.aln	-6210.039136	-6300.269289	-6300.269250	-6210.039103
rpl23.fa.cds.fsa.nuc.aln	-1195.802611	-1195.802608	-1195.802313	-1195.802609
psaA.fa.cds.fsa.nuc.aln	-13210.071049	-13211.290994	-13211.291021	-13201.666258
rbcL.fa.cds.fsa.nuc.aln	-10586.183617	-10587.670338	-10586.183522	-10585.858508
petG.fa.cds.fsa.nuc.aln	-527.449629	-532.588061	-532.701433	-528.864956
ndhA.fa.cds.fsa.nuc.aln	-8795.525459	-8795.525438	-8795.525459	-8795.525459
rpl33.fa.cds.fsa.nuc.aln	-1938.761596	-1938.761661	-1938.597552	-1938.498825
ycf1.fa.cds.fsa.nuc.aln	-98880.079075	-98880.079075	-98880.079075	-98880.079075
ndhF.fa.cds.fsa.nuc.aln	-26129.819820	-26129.819832	-26129.819820	-26129.819820
ycf3.fa.cds.fsa.nuc.aln	-3169.265877	-3169.265886	-3169.265877	-3169.265877
atpA.fa.cds.fsa.nuc.aln	-11580.149513	-11584.534151	-11585.811644	-11580.149461
rps11.fa.cds.fsa.nuc.aln	-4165.323718	-4167.572790	-4165.908135	-4165.102989
psbN.fa.cds.fsa.nuc.aln	-652.332681	-652.337154	-652.333478	-652.332683
atpB.fa.cds.fsa.nuc.aln	-10736.268591	-10734.551097	-10736.268607	-10734.551150
atpE.fa.cds.fsa.nuc.aln	-3580.741645	-3580.241481	-3580.241589	-3580.241544
petB.fa.cds.fsa.nuc.aln	-3843.867981	-3843.867968	-3843.867981	-3843.867981
ndhG.fa.cds.fsa.nuc.aln	-4577.034945	-4577.034876	-4577.057511	-4577.034913
rpl32.fa.cds.fsa.nuc.aln	-2184.198963	-2183.844732	-2183.797145	-2183.819420
rpoB.fa.cds.fsa.nuc.aln	-25859.427000	-25859.426948	-25859.427000	-25859.427000
psbZ.fa.cds.fsa.nuc.aln	-871.240065	-871.240048	-871.263095	-871.240069
accD.fa.cds.fsa.nuc.aln	-16021.964299	-16021.964313	-16023.977760	-16023.109733
rpl16.fa.cds.fsa.nuc.aln	-3469.202459	-3469.215122	-3469.202459	-3469.202459
rpoC1.fa.cds.fsa.nuc.aln	-17151.629222	-17152.551695	-17151.629222	-17151.629222
rpoA.fa.cds.fsa.nuc.aln	-10072.145059	-10071.615617	-10072.145059	-10072.145059
rps7.fa.cds.fsa.nuc.aln	-2031.394670	-2031.394669	-2031.394656	-2031.394658
petL.fa.cds.fsa.nuc.aln	-717.679126	-718.075894	-717.040279	-717.679136
ndhD.fa.cds.fsa.nuc.aln	-14418.453797	-14418.453813	-14420.704659	-14418.998381
psbL.fa.cds.fsa.nuc.aln	-457.146324	-461.110153	-457.146324	-457.146324
psbI.fa.cds.fsa.nuc.aln	-829.521093	-828.934356	-828.934431	-828.934431
psaI.fa.cds.fsa.nuc.aln	-961.572559	-963.280883	-962.379635	-963.983257
cemA.fa.cds.fsa.nuc.aln	-7148.851281	-7148.850865	-7148.850862	-7151.101456
rps14.fa.cds.fsa.nuc.aln	-2208.624205	-2208.656664	-2208.624218	-2210.423771
petA.fa.cds.fsa.nuc.aln	-7567.521488	-7587.381563	-7586.783168	-7572.513097
