GeneName	NoConstraint	Acnistus_arborescens,Coffea_arabica	Olea_europaea,Coffea_arabica
ndhB.fa.cds.fsa.nuc.aln	-5292.279781	-5291.610128	-5292.113065
rps2.fa.cds.fsa.nuc.aln	-6143.222457	-6141.099574	-6142.062942
rpl20.fa.cds.fsa.nuc.aln	-3837.642134	-3837.006855	-3842.902479
atpI.fa.cds.fsa.nuc.aln	-5167.893654	-5167.932891	-5168.234619
rps8.fa.cds.fsa.nuc.aln	-4141.930870	-4142.311238	-4141.930875
psbT.fa.cds.fsa.nuc.aln	-752.016283	-752.016355	-751.954476
infA.fa.cds.fsa.nuc.aln	-1732.855388	-1732.855388	-1732.855388
psaC.fa.cds.fsa.nuc.aln	-1622.659906	-1566.650272	-1566.866014
atpF.fa.cds.fsa.nuc.aln	-5129.639871	-5131.671151	-5131.582617
ndhI.fa.cds.fsa.nuc.aln	-4032.087295	-4032.087314	-4034.453307
psbF.fa.cds.fsa.nuc.aln	-520.316251	-524.550530	-521.539795
clpP.fa.cds.fsa.nuc.aln	-6364.345913	-6363.870431	-6364.965611
ycf2.fa.cds.fsa.nuc.aln	-62016.011511	-62016.435319	-62016.011519
ccsA.fa.cds.fsa.nuc.aln	-11641.195179	-11641.195113	-11641.195179
psbB.fa.cds.fsa.nuc.aln	-9962.603832	-9962.603832	-9962.603948
ndhC.fa.cds.fsa.nuc.aln	-2469.537120	-2473.427192	-2470.896059
ycf4.fa.cds.fsa.nuc.aln	-4728.958892	-4728.639532	-4731.875561
psbD.fa.cds.fsa.nuc.aln	-5383.785370	-5385.064451	-5383.167299
rpl14.fa.cds.fsa.nuc.aln	-2677.165359	-2680.341930	-2677.639779
rpoC2.fa.cds.fsa.nuc.aln	-42185.235236	-42185.235307	-42188.761467
atpH.fa.cds.fsa.nuc.aln	-1361.320264	-1353.476078	-1353.476106
psbK.fa.cds.fsa.nuc.aln	-1492.218843	-1492.471627	-1493.554985
psbA.fa.cds.fsa.nuc.aln	-5622.426348	-5622.867477	-5623.219048
petN.fa.cds.fsa.nuc.aln	-448.082198	-447.166825	-447.575154
rps4.fa.cds.fsa.nuc.aln	-5279.276901	-5279.276859	-5281.487271
psbC.fa.cds.fsa.nuc.aln	-8503.480648	-8503.931483	-8503.890563
rpl22.fa.cds.fsa.nuc.aln	-6337.096146	-6337.096142	-6337.508970
ndhJ.fa.cds.fsa.nuc.aln	-3308.742157	-3308.397565	-3309.964305
petD.fa.cds.fsa.nuc.aln	-3315.599027	-3318.439353	-3316.838209
psaB.fa.cds.fsa.nuc.aln	-12948.341281	-12949.103624	-12948.341225
psbJ.fa.cds.fsa.nuc.aln	-705.323633	-709.411752	-708.119491
rpl36.fa.cds.fsa.nuc.aln	-851.436493	-852.385206	-851.436501
psbH.fa.cds.fsa.nuc.aln	-1927.591636	-1929.165209	-1927.245372
rpl2.fa.cds.fsa.nuc.aln	-4309.237828	-4311.385649	-4311.385671
rps12.fa.cds.fsa.nuc.aln	-1716.896409	-1716.896373	-1716.896409
psaJ.fa.cds.fsa.nuc.aln	-982.585608	-982.274369	-982.097102
ndhE.fa.cds.fsa.nuc.aln	-2368.462789	-2369.062216	-2370.592681
psbM.fa.cds.fsa.nuc.aln	-636.541932	-636.132490	-634.841571
rps19.fa.cds.fsa.nuc.aln	-2707.005339	-2710.234041	-2708.053781
psbE.fa.cds.fsa.nuc.aln	-1244.760069	-1249.497229	-1248.656072
rps18.fa.cds.fsa.nuc.aln	-2644.609600	-2644.708315	-2644.609806
rps15.fa.cds.fsa.nuc.aln	-3363.540899	-3363.406668	-3365.907319
rps3.fa.cds.fsa.nuc.aln	-7189.172458	-7189.759382	-7189.172424
matK.fa.cds.fsa.nuc.aln	-20682.807213	-20682.807190	-20684.349150
ndhH.fa.cds.fsa.nuc.aln	-8411.391667	-8411.404232	-8411.391560
rps16.fa.cds.fsa.nuc.aln	-2306.164172	-2306.346813	-2306.164161
ndhK.fa.cds.fsa.nuc.aln	-6210.039136	-6210.039135	-6210.039136
rpl23.fa.cds.fsa.nuc.aln	-1195.802611	-1195.802608	-1195.802608
psaA.fa.cds.fsa.nuc.aln	-13210.071049	-13203.414740	-13203.417319
rbcL.fa.cds.fsa.nuc.aln	-10586.183617	-10586.183575	-10592.063072
petG.fa.cds.fsa.nuc.aln	-527.449629	-527.449800	-527.839236
ndhA.fa.cds.fsa.nuc.aln	-8795.525459	-8795.525439	-8799.874204
rpl33.fa.cds.fsa.nuc.aln	-1938.761596	-1938.597570	-1942.487603
ycf1.fa.cds.fsa.nuc.aln	-98880.079075	-98881.774528	-98884.121162
ndhF.fa.cds.fsa.nuc.aln	-26129.819820	-26129.819856	-26130.353527
ycf3.fa.cds.fsa.nuc.aln	-3169.265877	-3171.639567	-3171.639719
atpA.fa.cds.fsa.nuc.aln	-11580.149513	-11580.149513	-11581.302562
rps11.fa.cds.fsa.nuc.aln	-4165.323718	-4165.102997	-4165.983008
psbN.fa.cds.fsa.nuc.aln	-652.332681	-656.739315	-656.586004
atpB.fa.cds.fsa.nuc.aln	-10736.268591	-10735.321575	-10737.044107
atpE.fa.cds.fsa.nuc.aln	-3580.741645	-3580.979478	-3580.250713
petB.fa.cds.fsa.nuc.aln	-3843.867981	-3843.867975	-3845.682061
ndhG.fa.cds.fsa.nuc.aln	-4577.034945	-4577.034867	-4577.035141
rpl32.fa.cds.fsa.nuc.aln	-2184.198963	-2183.797138	-2183.779996
rpoB.fa.cds.fsa.nuc.aln	-25859.427000	-25860.002888	-25860.062610
psbZ.fa.cds.fsa.nuc.aln	-871.240065	-871.240065	-871.240065
accD.fa.cds.fsa.nuc.aln	-16021.964299	-16022.212413	-16022.365604
rpl16.fa.cds.fsa.nuc.aln	-3469.202459	-3471.130633	-3470.797945
rpoC1.fa.cds.fsa.nuc.aln	-17151.629222	-17153.425045	-17151.629199
rpoA.fa.cds.fsa.nuc.aln	-10072.145059	-10072.144946	-10071.615544
