GeneName	NoConstraint	Buxus_microphylla,Prunus_padus,Liquidambar_formosana,Champereia_manillana,Haloxylon_ammodendron,Cornus_controversa,Camellia_oleifera,Acnistus_arborescens,Olea_europaea,Coffea_arabica,Helwingia_himalaica,Sambucus_williamsii,Viburnum_utile,Kolkwitzia_amabilis,Dendropanax_dentiger,Fatsia_japonica,Schefflera_heptaphylla,Aralia_undulata,Adenophora_remotiflora,Campanula_punctata,Lobelia_inflata,Centaurea_diffusa,Lactuca_sativa,Jacobaea_vulgaris,Ageratina_adenophora,Parthenium_argentatum,Galinsoga_quadriradiata,Anaphalis_sinica,Artemisa_frigida,Llerasia_caucana,Oritrophium_peruvianum,Diplostephium_oblanceolatum,Hinterhubera_ericoides,Diplostephium_hartwegii,Diplostephium_azureum,Diplostephium_meyenii,Diplostephium_foliosissimum,Diplostephium_pulchrum,Diplostephium_gnidioides,Diplostephium_oxapampanum,Diplostephium_haenkei,Diplostephium_empetrifolium	Trochodendron_aralioides,Buxus_microphylla
ndhB.fa.cds.fsa.nuc.aln	-5292.279781	-5293.632170	-5292.324066
rps2.fa.cds.fsa.nuc.aln	-6143.222457	-6143.528528	-6141.099572
rpl20.fa.cds.fsa.nuc.aln	-3837.642134	-3835.667208	-3833.368984
atpI.fa.cds.fsa.nuc.aln	-5167.893654	-5167.932846	-5169.817174
rps8.fa.cds.fsa.nuc.aln	-4141.930870	-4143.255280	-4140.743889
psbT.fa.cds.fsa.nuc.aln	-752.016283	-755.435019	-752.016330
infA.fa.cds.fsa.nuc.aln	-1732.855388	-1733.668582	-1734.349822
psaC.fa.cds.fsa.nuc.aln	-1622.659906	-1567.851842	-1566.097400
atpF.fa.cds.fsa.nuc.aln	-5129.639871	-5130.845482	-5130.556577
ndhI.fa.cds.fsa.nuc.aln	-4032.087295	-4032.087269	-4035.121228
psbF.fa.cds.fsa.nuc.aln	-520.316251	-524.746545	-522.503883
clpP.fa.cds.fsa.nuc.aln	-6364.345913	-6363.951192	-6357.109534
ycf2.fa.cds.fsa.nuc.aln	-62016.011511	-62021.327622	-62021.327804
