GeneName	NoConstraint	Acnistus_arborescens,Coffea_arabica	Olea_europaea,Coffea_arabica	Olea_europaea,Acnistus_arborescens
ndhB.fa.cds.fsa.nuc.aln	-5292.279781	-5291.610128	-5292.113065	-5296.173934
rps2.fa.cds.fsa.nuc.aln	-6143.222457	-6141.099574	-6142.062942	-6142.057807
rpl20.fa.cds.fsa.nuc.aln	-3837.642134	-3837.006855	-3842.902479	-3833.368983
atpI.fa.cds.fsa.nuc.aln	-5167.893654	-5167.932891	-5168.234619	-5169.279204
rps8.fa.cds.fsa.nuc.aln	-4141.930870	-4142.311238	-4141.930875	-4141.709479
psbT.fa.cds.fsa.nuc.aln	-752.016283	-752.016355	-751.954476	-752.009021
infA.fa.cds.fsa.nuc.aln	-1732.855388	-1732.855388	-1732.855388	-1732.855388
psaC.fa.cds.fsa.nuc.aln	-1622.659906	-1566.650272	-1566.866014	-1566.604319
atpF.fa.cds.fsa.nuc.aln	-5129.639871	-5131.671151	-5131.582617	-5129.639866
ndhI.fa.cds.fsa.nuc.aln	-4032.087295	-4032.087314	-4034.453307	-4034.453330
psbF.fa.cds.fsa.nuc.aln	-520.316251	-524.550530	-521.539795	-524.704891
clpP.fa.cds.fsa.nuc.aln	-6364.345913	-6363.870431	-6364.965611	-6361.239499
ycf2.fa.cds.fsa.nuc.aln	-62016.011511	-62016.435319	-62016.011519	-62017.165164
ccsA.fa.cds.fsa.nuc.aln	-11641.195179	-11641.195113	-11641.195179	-11641.195179
psbB.fa.cds.fsa.nuc.aln	-9962.603832	-9962.603832	-9962.603948	-9962.603832
ndhC.fa.cds.fsa.nuc.aln	-2469.537120	-2473.427192	-2470.896059	-2471.823190
ycf4.fa.cds.fsa.nuc.aln	-4728.958892	-4728.639532	-4731.875561	-4732.212083
psbD.fa.cds.fsa.nuc.aln	-5383.785370	-5385.064451	-5383.167299	-5385.386382
rpl14.fa.cds.fsa.nuc.aln	-2677.165359	-2680.341930	-2677.639779	-2677.487822
rpoC2.fa.cds.fsa.nuc.aln	-42185.235236	-42185.235307	-42188.761467	-42187.710141
atpH.fa.cds.fsa.nuc.aln	-1361.320264	-1353.476078	-1353.476106	-1353.111450
psbK.fa.cds.fsa.nuc.aln	-1492.218843	-1492.471627	-1493.554985	-1493.554999
psbA.fa.cds.fsa.nuc.aln	-5622.426348	-5622.867477	-5623.219048	-5622.154123
petN.fa.cds.fsa.nuc.aln	-448.082198	-447.166825	-447.575154	-447.569755
rps4.fa.cds.fsa.nuc.aln	-5279.276901	-5279.276859	-5281.487271	-5281.487502
psbC.fa.cds.fsa.nuc.aln	-8503.480648	-8503.931483	-8503.890563	-8505.258648
rpl22.fa.cds.fsa.nuc.aln	-6337.096146	-6337.096142	-6337.508970	-6337.438063
ndhJ.fa.cds.fsa.nuc.aln	-3308.742157	-3308.397565	-3309.964305	-3309.964091
petD.fa.cds.fsa.nuc.aln	-3315.599027	-3318.439353	-3316.838209	-3318.137618
psaB.fa.cds.fsa.nuc.aln	-12948.341281	-12949.103624	-12948.341225	-12949.863652
psbJ.fa.cds.fsa.nuc.aln	-705.323633	-709.411752	-708.119491	-709.667609
