GeneName	NoConstraint	Jacobaea_vulgaris,Artemisa_frigida	Ageratina_adenophora,Parthenium_argentatum,Galinsoga_quadriradiata,Anaphalis_sinica,Artemisa_frigida,Llerasia_caucana,Oritrophium_peruvianum,Diplostephium_oblanceolatum,Hinterhubera_ericoides,Diplostephium_hartwegii,Diplostephium_azureum,Diplostephium_meyenii,Diplostephium_foliosissimum,Diplostephium_pulchrum,Diplostephium_gnidioides,Diplostephium_oxapampanum,Diplostephium_haenkei,Diplostephium_empetrifolium
ndhB.fa.cds.fsa.nuc.aln	-5292.279781	-5296.713231	-5292.113067
rps2.fa.cds.fsa.nuc.aln	-6143.222457	-6141.852114	-6151.445608
rpl20.fa.cds.fsa.nuc.aln	-3837.642134	-3837.862888	-3844.398691
atpI.fa.cds.fsa.nuc.aln	-5167.893654	-5171.949766	-5172.687582
rps8.fa.cds.fsa.nuc.aln	-4141.930870	-4144.231976	-4145.268903
psbT.fa.cds.fsa.nuc.aln	-752.016283	-757.559769	-759.252970
infA.fa.cds.fsa.nuc.aln	-1732.855388	-1738.767672	-1737.499984
psaC.fa.cds.fsa.nuc.aln	-1622.659906	-1625.502579	-1567.813897
atpF.fa.cds.fsa.nuc.aln	-5129.639871	-5130.237239	-5130.741858
ndhI.fa.cds.fsa.nuc.aln	-4032.087295	-4036.888024	-4036.254757
psbF.fa.cds.fsa.nuc.aln	-520.316251	-519.533426	-519.533543
clpP.fa.cds.fsa.nuc.aln	-6364.345913	-6364.346265	-6364.171462
ycf2.fa.cds.fsa.nuc.aln	-62016.011511	-62019.970125	-62018.814540
ccsA.fa.cds.fsa.nuc.aln	-11641.195179	-11648.002048	-11641.195086
psbB.fa.cds.fsa.nuc.aln	-9962.603832	-9969.883426	-9967.227207
ndhC.fa.cds.fsa.nuc.aln	-2469.537120	-2475.375047	-2469.550623
ycf4.fa.cds.fsa.nuc.aln	-4728.958892	-4738.769139	-4742.906622
psbD.fa.cds.fsa.nuc.aln	-5383.785370	-5389.705895	-5383.167413
rpl14.fa.cds.fsa.nuc.aln	-2677.165359	-2682.524846	-2679.875473
rpoC2.fa.cds.fsa.nuc.aln	-42185.235236	-42201.443220	-42191.774101
atpH.fa.cds.fsa.nuc.aln	-1361.320264	-1354.715725	-1353.111485
psbK.fa.cds.fsa.nuc.aln	-1492.218843	-1496.183951	-1500.991910
psbA.fa.cds.fsa.nuc.aln	-5622.426348	-5635.314971	-5622.454537
petN.fa.cds.fsa.nuc.aln	-448.082198	-445.133256	-450.453113
rps4.fa.cds.fsa.nuc.aln	-5279.276901	-5281.761653	-5282.823634
psbC.fa.cds.fsa.nuc.aln	-8503.480648	-8507.055911	-8505.408868
rpl22.fa.cds.fsa.nuc.aln	-6337.096146	-6348.641056	-6337.162163
ndhJ.fa.cds.fsa.nuc.aln	-3308.742157	-3310.334467	-3310.679256
petD.fa.cds.fsa.nuc.aln	-3315.599027	-3316.709350	-3316.793285
psaB.fa.cds.fsa.nuc.aln	-12948.341281	-12953.282099	-12948.341249
psbJ.fa.cds.fsa.nuc.aln	-705.323633	-705.373523	-709.836945
rpl36.fa.cds.fsa.nuc.aln	-851.436493	-853.931159	-853.186345
psbH.fa.cds.fsa.nuc.aln	-1927.591636	-1929.785480	-1924.446255
rpl2.fa.cds.fsa.nuc.aln	-4309.237828	-4313.753778	-4319.955324
rps12.fa.cds.fsa.nuc.aln	-1716.896409	-1721.507361	-1721.507404
psaJ.fa.cds.fsa.nuc.aln	-982.585608	-989.383151	-987.888194
ndhE.fa.cds.fsa.nuc.aln	-2368.462789	-2372.108820	-2372.020926
psbM.fa.cds.fsa.nuc.aln	-636.541932	-638.335339	-640.436470
rps19.fa.cds.fsa.nuc.aln	-2707.005339	-2711.946247	-2713.631060
psbE.fa.cds.fsa.nuc.aln	-1244.760069	-1243.874587	-1246.401081
rps18.fa.cds.fsa.nuc.aln	-2644.609600	-2646.065089	-2645.311399
rps15.fa.cds.fsa.nuc.aln	-3363.540899	-3372.593845	-3371.995343
rps3.fa.cds.fsa.nuc.aln	-7189.172458	-7198.038952	-7195.435921
matK.fa.cds.fsa.nuc.aln	-20682.807213	-20686.511902	-20684.497570
ndhH.fa.cds.fsa.nuc.aln	-8411.391667	-8417.289819	-8415.779570
rps16.fa.cds.fsa.nuc.aln	-2306.164172	-2309.589371	-2308.745143
ndhK.fa.cds.fsa.nuc.aln	-6210.039136	-6210.039136	-6307.037582
rpl23.fa.cds.fsa.nuc.aln	-1195.802611	-1202.213468	-1195.802610
psaA.fa.cds.fsa.nuc.aln	-13210.071049	-13202.982908	-13214.853192
rbcL.fa.cds.fsa.nuc.aln	-10586.183617	-10595.623234	-10592.704988
petG.fa.cds.fsa.nuc.aln	-527.449629	-529.320201	-535.828937
ndhA.fa.cds.fsa.nuc.aln	-8795.525459	-8804.294854	-8795.525553
rpl33.fa.cds.fsa.nuc.aln	-1938.761596	-1946.106878	-1938.761609
ycf1.fa.cds.fsa.nuc.aln	-98880.079075	-98881.671511	-98880.079082
ndhF.fa.cds.fsa.nuc.aln	-26129.819820	-26141.595974	-26130.065282
ycf3.fa.cds.fsa.nuc.aln	-3169.265877	-3174.513695	-3175.345869
atpA.fa.cds.fsa.nuc.aln	-11580.149513	-11582.753524	-11580.713302
rps11.fa.cds.fsa.nuc.aln	-4165.323718	-4168.103862	-4166.006957
psbN.fa.cds.fsa.nuc.aln	-652.332681	-655.647220	-655.357763
atpB.fa.cds.fsa.nuc.aln	-10736.268591	-10738.807312	-10737.626452
atpE.fa.cds.fsa.nuc.aln	-3580.741645	-3584.098723	-3580.906385
petB.fa.cds.fsa.nuc.aln	-3843.867981	-3845.498189	-3847.740386
ndhG.fa.cds.fsa.nuc.aln	-4577.034945	-4577.034854	-4582.336458
rpl32.fa.cds.fsa.nuc.aln	-2184.198963	-2185.885896	-2186.094150
rpoB.fa.cds.fsa.nuc.aln	-25859.427000	-25875.097984	-25866.393136
psbZ.fa.cds.fsa.nuc.aln	-871.240065	-879.865773	-877.600440
accD.fa.cds.fsa.nuc.aln	-16021.964299	-16030.852671	-16023.194331
rpl16.fa.cds.fsa.nuc.aln	-3469.202459	-3478.310468	-3477.855058
rpoC1.fa.cds.fsa.nuc.aln	-17151.629222	-17151.629222	-17155.652607
rpoA.fa.cds.fsa.nuc.aln	-10072.145059	-10076.484103	-10075.359822
rps7.fa.cds.fsa.nuc.aln	-2031.394670	-2036.928086	-2036.928080
petL.fa.cds.fsa.nuc.aln	-717.679126	-719.899669	-721.675691
ndhD.fa.cds.fsa.nuc.aln	-14418.453797	-14423.839298	-14418.453809
psbL.fa.cds.fsa.nuc.aln	-457.146324	-458.680500	-458.143209
psbI.fa.cds.fsa.nuc.aln	-829.521093	-831.798259	-830.235495
psaI.fa.cds.fsa.nuc.aln	-961.572559	-962.379608	-964.128014
cemA.fa.cds.fsa.nuc.aln	-7148.851281	-7151.288285	-7148.850864
rps14.fa.cds.fsa.nuc.aln	-2208.624205	-2212.461186	-2212.446749
petA.fa.cds.fsa.nuc.aln	-7567.521488	-7569.140505	-7582.276206
